name,price,change,change%,high,low
復華全球物聯網科技基金(台幣),0.43,20.48,8.06,23.77,0.08
群益全球特別股收益基金B月配型(人民幣)(本基金之配息來源可能為本金),0.40,13.93,7.31,36.15,0.12
群益全球特別股收益基金NB月配型(人民幣)(本基金之配息來源可能為本金),0.40,19.69,5.31,37.34,0.12
群益全球特別股收益基金A累積型(人民幣)(本基金之配息來源可能為本金),0.36,12.35,4.97,31.59,0.10
摩根全球發現基金,0.36,24.58,8.75,9.72,0.03
凱基護城河基金(台幣),0.34,37.10,7.32,50.82,0.15
野村環球基金(美元),0.33,40.39,9.59,20.63,0.06
摩根環球股票收益基金-月配型(人民幣)(本基金之配息來源可能為本金),0.32,37.54,7.89,36.11,0.10
第一金全球大趨勢基金,0.32,10.03,9.10,28.04,0.07
群益全球特別股收益基金B月配型(美元)(本基金之配息來源可能為本金),0.31,52.73,5.78,49.86,0.12
群益全球特別股收益基金A累積型(美元)(本基金之配息來源可能為本金),0.30,21.59,5.34,39.10,0.09
元大全球股票入息基金-A不配息(台幣),0.29,37.80,9.89,19.40,0.04
群益中國新機會基金(美元),0.28,28.60,8.19,9.80,0.02
摩根全球α基金,0.25,52.34,4.99,54.84,0.11
台新智慧生活基金(美元),0.24,40.67,9.67,40.75,0.08
野村環球基金(人民幣),0.23,20.47,7.04,17.15,0.03
富邦大中華成長基金(台幣),0.21,10.07,6.91,29.32,0.05
群益中國新機會基金(人民幣),0.20,56.57,7.66,36.25,0.06
保德信全球消費商機基金,0.20,45.61,4.86,19.24,0.03
摩根環球股票收益基金-月配型(美元)(本基金之配息來源可能為本金),0.20,22.08,7.63,19.35,0.03
摩根環球股票收益基金-累積型(台幣),0.18,30.83,6.61,10.95,0.02
摩根環球股票收益基金-月配型(台幣)(本基金之配息來源可能為本金),0.17,38.52,3.54,52.57,0.08
台新智慧生活基金(台幣),0.17,28.40,9.87,13.46,0.02
